,step,Validation/Accuracy_agri,Validation/Accuracy_barrenland,Validation/Accuracy_grassland,Validation/Accuracy_urban,epoch,lr-Adam,train_accuracy_epoch,train_accuracy_step,train_loss_epoch,train_loss_step,val_accuracy,val_loss
19,189,,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,"[0.875, 0.9375, 0.9375, 0.9375, 1.0, 0.96875, 1.0]",,"[0.33127284049987793, 0.2865886688232422, 0.07577046751976013, 0.10742610692977905, 0.12083020806312561, 0.0654664933681488, 0.0943228155374527]",,
20,199,"[0.9855832457542419, 0.9947575330734253, 0.9801980257034302, 0.9170792102813721, 0.9293544292449951, 0.9597069621086121, 0.971867024898529]","[0.9769697189331055, 0.9926380515098572, 0.9910025596618652, 0.998734176158905, 0.8392204642295837, 0.9696969985961914, 0.610837459564209]","[0.9852034449577332, 0.993819534778595, 0.9902439117431641, 0.9560439586639404, 0.9932975769042969, 0.985897421836853, 0.8046398162841797]","[0.9875156283378601, 0.9889298677444458, 0.984886646270752, 0.9578543901443481, 1.0, 0.9864029884338379, 0.8233799338340759]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[0.90625, 0.9413281083106995, 0.911328136920929, 0.913281261920929, 0.9337499737739563, 0.8751562237739563, 0.8270312547683716]","[0.96875, 0.96875, 0.96875, 0.9375, 0.96875, 0.8125, 0.84375]","[0.3244878053665161, 0.1798701137304306, 0.28916046023368835, 0.2311517894268036, 0.17949658632278442, 0.42315948009490967, 0.5763526558876038]","[0.06375370919704437, 0.09636300057172775, 0.131123885512352, 0.09808387607336044, 0.06093401461839676, 0.30943751335144043, 0.34528160095214844]","[0.9837499856948853, 0.9925000071525574, 0.9865624904632568, 0.9571874737739563, 0.9390624761581421, 0.9753124713897705, 0.8009374737739563]","[0.0638783648610115, 0.027156013995409012, 0.048430830240249634, 0.11649933457374573, 0.16841581463813782, 0.08903514593839645, 0.5393461585044861]"
21,200,,,,,,"[9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05]",,,,,,
22,209,,,,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,,"[0.96875, 0.96875, 0.96875, 0.90625, 0.96875, 1.0, 1.0]",,"[0.26387596130371094, 0.08186013251543045, 0.11661253869533539, 0.20295462012290955, 0.08459865301847458, 0.01992747187614441, 0.02072860300540924]",,
23,219,,,,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,,"[1.0, 0.96875, 0.96875, 0.875, 1.0, 1.0, 0.96875]",,"[0.011747866868972778, 0.07654087245464325, 0.040270693600177765, 0.4714469909667969, 0.027473125606775284, 0.01153566688299179, 0.1207357719540596]",,
24,229,,,,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,,"[0.9375, 0.96875, 0.96875, 1.0, 1.0, 1.0, 0.9375]",,"[0.12788483500480652, 0.06534785032272339, 0.15505382418632507, 0.008306317031383514, 0.005511187016963959, 0.03904297202825546, 0.24927616119384766]",,
25,239,,,,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,,"[1.0, 0.9375, 0.96875, 0.96875, 1.0, 0.90625, 1.0]",,"[0.06337342411279678, 0.19730675220489502, 0.05915972962975502, 0.10933151096105576, 0.014218147844076157, 0.26784706115722656, 0.01253354549407959]",,
26,249,,,,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,,"[1.0, 1.0, 1.0, 0.96875, 1.0, 0.96875, 1.0]",,"[0.005890108644962311, 0.011420343071222305, 0.00983951985836029, 0.17612075805664062, 0.025542549788951874, 0.0332416296005249, 0.08208952844142914]",,
27,259,,,,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,,"[1.0, 1.0, 1.0, 0.9375, 0.96875, 1.0, 0.96875]",,"[0.003940872848033905, 0.03299139067530632, 0.014307897537946701, 0.12754493951797485, 0.24295711517333984, 0.022009868174791336, 0.0826304480433464]",,
28,269,,,,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,,"[0.96875, 0.9375, 1.0, 1.0, 1.0, 0.96875, 0.9375]",,"[0.08266547322273254, 0.1304614245891571, 0.005171060562133789, 0.01859704777598381, 0.008678864687681198, 0.11906883120536804, 0.3621034622192383]",,
