,step,Validation/Accuracy_agri,Validation/Accuracy_barrenland,Validation/Accuracy_grassland,Validation/Accuracy_urban,epoch,lr-Adam,train_accuracy_epoch,train_accuracy_step,train_loss_epoch,train_loss_step,val_accuracy,val_loss
148,1409,,,,,"[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.96875]",,"[0.034297019243240356, 0.010528068989515305, 0.006250627338886261, 0.0004688091576099396, 0.002042807638645172, 0.0019907616078853607, 0.06112644821405411]",,
149,1419,,,,,"[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]",,,"[1.0, 1.0, 1.0, 0.96875, 0.96875, 1.0, 1.0]",,"[0.00033088400959968567, 0.00130404531955719, 0.009048689156770706, 0.19388553500175476, 0.07306057214736938, 0.0033586062490940094, 0.0005897395312786102]",,
150,1429,,,,,"[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]",,,"[1.0, 0.96875, 1.0, 1.0, 1.0, 1.0, 0.96875]",,"[0.0012498944997787476, 0.08719655871391296, 0.0013299435377120972, 0.000994700938463211, 0.0013177618384361267, 0.0006275027990341187, 0.028505854308605194]",,
151,1439,,,,,"[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]",,,"[1.0, 1.0, 1.0, 1.0, 0.875, 1.0, 1.0]",,"[0.00019411370158195496, 0.000421036034822464, 0.00243164598941803, 0.0002483166754245758, 0.3569675087928772, 0.0009539090096950531, 0.018175486475229263]",,
152,1449,,,,,"[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]",,,"[1.0, 1.0, 0.96875, 1.0, 1.0, 1.0, 1.0]",,"[0.0004124641418457031, 0.03934934735298157, 0.036389417946338654, 7.601454854011536e-05, 0.0036650896072387695, 0.0003260597586631775, 0.00035776570439338684]",,
153,1459,,,,,"[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]",,,"[1.0, 1.0, 1.0, 0.9375, 1.0, 1.0, 1.0]",,"[0.002360273152589798, 0.007730055600404739, 0.0038809143006801605, 0.0885581374168396, 0.0010719485580921173, 0.0001489780843257904, 0.00019490718841552734]",,
154,1469,,,,,"[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]",,,"[1.0, 1.0, 1.0, 0.96875, 1.0, 1.0, 1.0]",,"[0.0011320896446704865, 0.0033395886421203613, 0.0013911053538322449, 0.11804583668708801, 0.002608455717563629, 0.0009926743805408478, 0.000418882817029953]",,
155,1479,,,,,"[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.0011201724410057068, 0.00541391596198082, 0.030111581087112427, 0.0013530552387237549, 0.000625908374786377, 0.00044015422463417053, 0.004256997257471085]",,
156,1489,,,,,"[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.002054154872894287, 0.0038408637046813965, 0.03462968394160271, 6.488710641860962e-05, 0.034216880798339844, 0.0014408975839614868, 0.0005758777260780334]",,
157,1499,,,,,"[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]",,,"[0.96875, 1.0, 1.0, 1.0, 1.0, 0.96875, 1.0]",,"[0.11807723343372345, 0.0029545240104198456, 0.00025615468621253967, 0.0008511319756507874, 0.006622400134801865, 0.0822925716638565, 0.001507580280303955]",,
158,1509,,,,,"[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]",,,"[1.0, 1.0, 0.90625, 0.96875, 1.0, 1.0, 1.0]",,"[0.0035555176436901093, 0.02373678609728813, 0.2668905258178711, 0.0594019889831543, 0.007312886416912079, 0.00259283185005188, 0.000514347106218338]",,
159,1519,,,,,"[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]",,,"[1.0, 1.0, 0.90625, 1.0, 1.0, 1.0, 1.0]",,"[0.0010484978556632996, 0.0002279914915561676, 0.4617597162723541, 0.0015665628015995026, 0.0035604462027549744, 0.004533294588327408, 0.04196017235517502]",,
160,1529,,,,,"[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]",,,"[0.9375, 1.0, 0.96875, 1.0, 1.0, 1.0, 1.0]",,"[0.11580029129981995, 0.0004945471882820129, 0.1009075790643692, 0.025209851562976837, 0.0011280514299869537, 0.0017234385013580322, 0.0003139227628707886]",,
161,1539,,,,,"[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]",,,"[0.9375, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.2329915463924408, 0.015065774321556091, 0.001468319445848465, 0.0006323456764221191, 0.0012645348906517029, 0.007683847099542618, 0.0006036460399627686]",,
162,1549,,,,,"[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]",,,"[1.0, 0.84375, 0.96875, 1.0, 1.0, 1.0, 1.0]",,"[0.0030493326485157013, 0.4181419312953949, 0.06673883646726608, 0.0012648999691009521, 0.002239186316728592, 0.00047207996249198914, 0.0009182430803775787]",,
163,1559,,,,,"[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]",,,"[1.0, 1.0, 1.0, 0.96875, 1.0, 1.0, 0.96875]",,"[0.0007119067013263702, 0.0004238225519657135, 0.013524949550628662, 0.036416687071323395, 0.0005391649901866913, 0.04355157911777496, 0.1049705371260643]",,
164,1569,,,,,"[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.019260987639427185, 0.00232059508562088, 0.0019372329115867615, 0.0008470267057418823, 0.0016659349203109741, 0.0007006824016571045, 0.002846136689186096]",,
165,1579,,,,,"[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]",,,"[0.96875, 1.0, 0.96875, 1.0, 0.96875, 1.0, 1.0]",,"[0.1946668028831482, 0.009503256529569626, 0.04276653751730919, 0.0005817152559757233, 0.06415989249944687, 0.004806589335203171, 0.00019710883498191833]",,
166,1589,,,,,"[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.0001706331968307495, 0.0009505636990070343, 0.01822282001376152, 0.0010205693542957306, 0.004861481487751007, 0.0006277561187744141, 0.048688843846321106]",,
167,1599,"[0.9921362996101379, 0.9833759665489197, 0.9890109896659851, 0.9973787665367126, 0.9975247383117676, 0.9890377521514893, 0.9801980257034302]","[0.9987729787826538, 0.9864531755447388, 1.0, 1.0, 1.0, 0.9975639581680298, 0.9886075854301453]","[0.9962916970252991, 0.9926739931106567, 0.9948717951774597, 0.9864364862442017, 0.997560977935791, 0.9986594915390015, 0.9792429804801941]","[0.9975399971008301, 0.9682338237762451, 0.9975278377532959, 0.9937577843666077, 0.997481107711792, 1.0, 0.9897828698158264]","[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]",,"[0.9978125095367432, 0.9774218797683716, 0.9966406226158142, 0.9963281154632568, 0.9975000023841858, 0.9994531273841858, 0.9896093606948853]","[1.0, 0.96875, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.007987909018993378, 0.07131209969520569, 0.012613258324563503, 0.011980208568274975, 0.008081813342869282, 0.002372766612097621, 0.0355365090072155]","[0.010083101689815521, 0.0533614456653595, 0.014745954424142838, 0.0003015100955963135, 0.03042801097035408, 0.0003354102373123169, 0.0013182573020458221]","[0.9962499737739563, 0.9828125238418579, 0.995312511920929, 0.9943749904632568, 0.9981250166893005, 0.9962499737739563, 0.984375]","[0.013165153563022614, 0.059156108647584915, 0.015197363682091236, 0.020434832200407982, 0.009141637943685055, 0.01386976521462202, 0.05215316638350487]"
168,1600,,,,,,"[9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05]",,,,,,
169,1609,,,,,"[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.0011083297431468964, 0.0308697372674942, 0.00020829588174819946, 0.0017308667302131653, 0.008937515318393707, 0.003980614244937897, 0.0006719082593917847]",,
170,1619,,,,,"[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]",,,"[1.0, 1.0, 1.0, 0.96875, 0.96875, 1.0, 0.90625]",,"[0.0030478201806545258, 0.00011606886982917786, 0.0003434866666793823, 0.03817358240485191, 0.08008702099323273, 0.006089001893997192, 0.2314315289258957]",,
171,1629,,,,,"[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.96875, 1.0]",,"[0.018569115549325943, 0.019032195210456848, 0.018098771572113037, 0.00039407238364219666, 0.003736145794391632, 0.03862391412258148, 0.000165548175573349]",,
172,1639,,,,,"[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.0007877610623836517, 0.013548128306865692, 0.000539001077413559, 0.002739362418651581, 0.00016352161765098572, 7.135048508644104e-05, 0.0068738870322704315]",,
173,1649,,,,,"[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.002883434295654297, 0.026724621653556824, 0.017384614795446396, 1.667812466621399e-05, 0.002855949103832245, 9.879842400550842e-05, 0.000813707709312439]",,
174,1659,,,,,"[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]",,,"[0.96875, 0.9375, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.041058506816625595, 0.20069991052150726, 0.003270711749792099, 0.0015792474150657654, 4.76837158203125e-05, 0.016652945429086685, 0.00013498589396476746]",,
175,1669,,,,,"[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.0001332312822341919, 0.003280423581600189, 7.575377821922302e-05, 0.0034214146435260773, 0.0007795467972755432, 0.024514392018318176, 0.009000416845083237]",,
176,1679,,,,,"[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]",,,"[1.0, 1.0, 1.0, 0.96875, 1.0, 1.0, 1.0]",,"[0.006521675735712051, 0.008071750402450562, 0.00011171028017997742, 0.03205205872654915, 0.0008210092782974243, 8.553266525268555e-06, 0.0007611662149429321]",,
177,1689,,,,,"[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.96875, 1.0]",,"[0.03526948392391205, 3.557652235031128e-06, 0.002651665359735489, 0.02328190580010414, 0.00022910535335540771, 0.026455041021108627, 0.00010379776358604431]",,
178,1699,,,,,"[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]",,,"[1.0, 1.0, 1.0, 1.0, 0.9375, 1.0, 1.0]",,"[9.571388363838196e-05, 0.0004167333245277405, 0.00262567400932312, 0.00021768733859062195, 0.146931454539299, 0.024645254015922546, 0.002878427505493164]",,
179,1709,,,,,"[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]",,,"[1.0, 1.0, 1.0, 0.96875, 1.0, 1.0, 1.0]",,"[0.0008434131741523743, 0.006236094981431961, 3.51443886756897e-05, 0.07159968465566635, 0.0015385076403617859, 0.0011249221861362457, 0.00010261312127113342]",,
180,1719,,,,,"[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]",,,"[0.96875, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.0950232744216919, 1.2479722499847412e-06, 0.04238748550415039, 0.01778601109981537, 0.00011411681771278381, 0.0020927265286445618, 0.0017671473324298859]",,
181,1729,,,,,"[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]",,,"[1.0, 1.0, 0.96875, 1.0, 1.0, 1.0, 0.96875]",,"[0.00022995099425315857, 0.0017110928893089294, 0.09625349938869476, 1.263245940208435e-05, 0.00015576928853988647, 0.0018163882195949554, 0.05421394854784012]",,
182,1739,,,,,"[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.0010840259492397308, 1.4901161193847656e-07, 0.0428386926651001, 0.002469997853040695, 0.0001119077205657959, 0.0015717148780822754, 0.0033603720366954803]",,
183,1749,,,,,"[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[9.221956133842468e-05, 0.008673738688230515, 0.004157450050115585, 0.002210211008787155, 0.0016367994248867035, 9.627640247344971e-05, 0.06576110422611237]",,
184,1759,,,,,"[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.015488959848880768, 0.00010119006037712097, 0.0007955580949783325, 1.7881393432617188e-07, 0.0037761367857456207, 0.014494799077510834, 0.002706192433834076]",,
185,1769,,,,,"[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]",,,"[0.96875, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.05001179128885269, 0.002415817230939865, 0.015054937452077866, 0.0004767514765262604, 0.0029892697930336, 0.0010650120675563812, 0.0037741027772426605]",,
186,1779,,,,,"[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]",,,"[1.0, 1.0, 1.0, 0.96875, 1.0, 1.0, 1.0]",,"[0.0027266107499599457, 0.0030313096940517426, 0.0014272071421146393, 0.04658456891775131, 0.002886023372411728, 8.860230445861816e-05, 0.0007338076829910278]",,
187,1789,,,,,"[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]",,,"[1.0, 0.96875, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.011478155851364136, 0.08711577206850052, 0.007577721029520035, 0.001074332743883133, 0.0002216435968875885, 0.0010442472994327545, 0.002836965024471283]",,
188,1799,"[0.9890377521514893, 1.0, 0.9950494766235352, 0.7186700701713562, 0.9973787665367126, 0.9777227640151978, 0.9914529919624329]","[0.9975639581680298, 1.0, 0.9987146258354187, 0.9790640473365784, 1.0, 0.9721518754959106, 1.0]","[0.9986594915390015, 0.995055615901947, 0.9817073345184326, 0.9975579977035522, 0.9889025688171387, 0.9328449368476868, 0.9923076629638672]","[1.0, 0.9975399971008301, 0.9811083078384399, 0.9695044755935669, 0.9987515807151794, 0.9936143159866333, 0.995055615901947]","[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]",,"[1.0, 0.9982812404632568, 0.9958593845367432, 0.9780468940734863, 0.9978125095367432, 0.998828113079071, 0.9966406226158142]","[1.0, 1.0, 0.96875, 1.0, 1.0, 0.96875, 1.0]","[0.0001674960512900725, 0.007321506273001432, 0.013348914682865143, 0.063420869410038, 0.007556055672466755, 0.003863402409479022, 0.012725075706839561]","[9.697303175926208e-05, 0.0011786073446273804, 0.041038598865270615, 0.0309918075799942, 0.0011587664484977722, 0.036594003438949585, 0.002116810530424118]","[0.9962499737739563, 0.9981250166893005, 0.989062488079071, 0.9178125262260437, 0.9962499737739563, 0.96875, 0.9946874976158142]","[0.014511180110275745, 0.008448165841400623, 0.0447518453001976, 0.24932727217674255, 0.010744813829660416, 0.14218869805335999, 0.017826762050390244]"
189,1800,,,,,,"[9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05]",,,,,,
190,1809,,,,,"[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.04834751412272453, 0.0007260888814926147, 7.990747690200806e-05, 0.00033811479806900024, 0.0011065676808357239, 0.000753551721572876, 0.0016348324716091156]",,
191,1819,,,,,"[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.037465453147888184, 0.0005123317241668701, 0.015197791159152985, 0.022349249571561813, 0.011932674795389175, 0.0012379921972751617, 0.00010565295815467834]",,
192,1829,,,,,"[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9375]",,"[0.00012275204062461853, 0.0007256530225276947, 0.0009623467922210693, 0.011407878249883652, 0.010155841708183289, 0.006707817316055298, 0.09559082984924316]",,
193,1839,,,,,"[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]",,,"[0.96875, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.08264939486980438, 0.0025792196393013, 0.000579439103603363, 0.027173370122909546, 0.00010782107710838318, 0.0003277696669101715, 0.0005161762237548828]",,
194,1849,,,,,"[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]",,,"[1.0, 0.96875, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.008030083030462265, 0.049551427364349365, 0.000886775553226471, 9.518861770629883e-05, 0.010045427829027176, 0.005971748381853104, 0.0029762722551822662]",,
195,1859,,,,,"[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]",,,"[1.0, 1.0, 1.0, 0.9375, 1.0, 1.0, 1.0]",,"[0.0009748712182044983, 0.009655363857746124, 0.0014521218836307526, 0.09030426293611526, 0.0011684782803058624, 0.05259798467159271, 0.00010652467608451843]",,
196,1869,,,,,"[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.0003516264259815216, 0.0011518336832523346, 0.00034455955028533936, 0.005158979445695877, 0.04157917946577072, 0.0008818022906780243, 0.01827901229262352]",,
197,1879,,,,,"[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]",,,"[1.0, 1.0, 1.0, 1.0, 0.96875, 1.0, 1.0]",,"[0.017705626785755157, 7.790699601173401e-05, 0.0032940730452537537, 0.0011449865996837616, 0.07190471142530441, 0.01036517322063446, 0.00018331781029701233]",,
198,1889,,,,,"[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]",,,"[1.0, 0.9375, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.0005765818059444427, 0.12352931499481201, 0.00019844993948936462, 0.004982858896255493, 0.007459726184606552, 0.022671014070510864, 0.000140264630317688]",,
199,1899,,,,,"[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]",,,"[1.0, 1.0, 1.0, 0.96875, 1.0, 1.0, 1.0]",,"[0.06341373175382614, 8.285045623779297e-05, 0.03246257081627846, 0.04332970827817917, 0.0004837736487388611, 0.0033093802630901337, 0.004612680524587631]",,
200,1909,,,,,"[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]",,,"[1.0, 1.0, 0.96875, 0.96875, 1.0, 1.0, 1.0]",,"[0.0008556507527828217, 0.0014676712453365326, 0.1285155713558197, 0.03237773850560188, 0.0003254413604736328, 8.270144462585449e-05, 0.0010420382022857666]",,
201,1919,,,,,"[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]",,,"[1.0, 1.0, 0.96875, 1.0, 0.96875, 1.0, 1.0]",,"[0.0007571876049041748, 0.006414216011762619, 0.06231124699115753, 9.595602750778198e-05, 0.06438527256250381, 0.01546793058514595, 0.005145911127328873]",,
202,1929,,,,,"[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]",,,"[1.0, 0.9375, 1.0, 1.0, 1.0, 0.96875, 1.0]",,"[0.0010821260511875153, 0.2377387285232544, 0.001213911920785904, 0.0008662790060043335, 0.00020704418420791626, 0.04267292097210884, 7.422640919685364e-05]",,
203,1939,,,,,"[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.00676221027970314, 9.159743785858154e-05, 0.001230921596288681, 0.0007019378244876862, 0.00489497184753418, 0.0012471042573451996, 0.013656623661518097]",,
204,1949,,,,,"[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.02682480961084366, 0.0008540228009223938, 0.0003427378833293915, 9.220466017723083e-05, 0.0010337568819522858, 0.0010875724256038666, 0.0007079355418682098]",,
205,1959,,,,,"[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.0009692125022411346, 0.00011406093835830688, 0.0033965930342674255, 0.042842067778110504, 0.0004062652587890625, 0.000685863196849823, 0.003287646919488907]",,
206,1969,,,,,"[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.96875, 1.0]",,"[0.00016683340072631836, 0.0035993345081806183, 0.0004775486886501312, 9.694695472717285e-05, 0.009856395423412323, 0.07798293977975845, 0.00104503333568573]",,
207,1979,,,,,"[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.9375, 1.0]",,"[0.00039416179060935974, 9.524822235107422e-05, 0.014587830752134323, 0.008717410266399384, 0.01783689856529236, 0.07302060723304749, 0.00011326000094413757]",,
208,1989,,,,,"[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.038420774042606354, 0.0044141001999378204, 0.04544079676270485, 0.006144389510154724, 6.66007399559021e-05, 0.0036776475608348846, 1.2740492820739746e-06]",,
209,1999,"[0.9986894130706787, 0.9890377521514893, 0.9938949942588806, 1.0, 0.9795396327972412, 0.9975247383117676, 0.9801980257034302]","[0.9975757598876953, 0.9975639581680298, 1.0, 1.0, 0.9704433679580688, 0.9974293112754822, 1.0]","[0.9827373623847961, 0.9986594915390015, 0.9910256266593933, 0.988875150680542, 0.9914529919624329, 0.997560977935791, 0.9816849827766418]","[0.9937577843666077, 1.0, 0.9975278377532959, 0.998769998550415, 0.9212198257446289, 0.99370276927948, 0.9961685538291931]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]",,"[0.9959375262260437, 1.0, 0.9984375238418579, 0.9995312690734863, 0.9769531488418579, 0.9977343678474426, 0.9893749952316284]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.01427606213837862, 0.00010835009743459523, 0.006662036757916212, 0.002197121037170291, 0.06911679357290268, 0.008180747739970684, 0.034889012575149536]","[0.020741324871778488, 0.00016552582383155823, 0.003265596926212311, 0.00040702521800994873, 0.010206326842308044, 0.004093475639820099, 0.00040689483284950256]","[0.9931250214576721, 0.9962499737739563, 0.9956250190734863, 0.996874988079071, 0.9659374952316284, 0.9965624809265137, 0.9893749952316284]","[0.02213485725224018, 0.01418102066963911, 0.015151956118643284, 0.010606135241687298, 0.10841631144285202, 0.012087773531675339, 0.05809084326028824]"
210,2000,,,,,,"[9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05]",,,,,,
211,2009,,,,,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.003106210380792618, 8.697807788848877e-05, 0.00032275915145874023, 0.0018258504569530487, 0.013302594423294067, 0.0006135515868663788, 0.017069324851036072]",,
212,2019,,,,,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[1.55717134475708e-06, 0.005093656480312347, 0.001465078443288803, 6.468966603279114e-05, 0.007770128548145294, 0.010891914367675781, 0.0001973956823348999]",,
213,2029,,,,,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.010673172771930695, 0.002928026020526886, 0.012197315692901611, 0.0006649903953075409, 0.0009464509785175323, 7.737800478935242e-05, 0.0004579126834869385]",,
214,2039,,,,,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.0009385049343109131, 2.1345913410186768e-05, 0.023730531334877014, 0.0001520290970802307, 0.004970800131559372, 0.004406876862049103, 0.00011722743511199951]",,
215,2049,,,,,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.00030036643147468567, 0.017690718173980713, 6.996467709541321e-05, 0.03659646213054657, 1.6819685697555542e-05, 0.0011972710490226746, 0.010182902216911316]",,
216,2059,,,,,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.00012046098709106445, 1.4729797840118408e-05, 0.01636887714266777, 0.00015112757682800293, 0.0018941722810268402, 6.064772605895996e-05, 0.023290913552045822]",,
217,2069,,,,,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]",,,"[1.0, 1.0, 1.0, 0.96875, 1.0, 1.0, 1.0]",,"[0.006607651710510254, 0.005570761859416962, 0.0002110712230205536, 0.05561336874961853, 7.209926843643188e-05, 0.00010259076952934265, 0.0004249587655067444]",,
218,2079,,,,,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]",,,"[1.0, 0.96875, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.002540282905101776, 0.052340731024742126, 0.00012375414371490479, 0.009842965751886368, 0.0003205239772796631, 0.00011216104030609131, 6.1765313148498535e-06]",,
219,2089,,,,,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.96875, 1.0]",,"[8.683651685714722e-05, 0.0023113302886486053, 8.556991815567017e-05, 0.010038316249847412, 0.000649571418762207, 0.04024429991841316, 7.993727922439575e-05]",,
220,2099,,,,,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]",,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,"[0.009271934628486633, 9.279698133468628e-05, 0.005459986627101898, 0.00020319223403930664, 8.058920502662659e-05, 0.003740031272172928, 0.012974303215742111]",,
221,2109,,,,,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]",,,"[1.0, 1.0, 0.96875, 0.875, 1.0, 1.0, 1.0]",,"[0.001531008630990982, 0.009060829877853394, 0.21935278177261353, 0.19012200832366943, 0.0002644360065460205, 0.0009454153478145599, 6.661564111709595e-05]",,
